*          DATA SET ACYR2000   AT LEVEL 073 AS OF 12/30/99                      
         TITLE 'PAN BOOK CONVERTED TO YEAR 2000 COMPLIANCE'                     
***********************************************************************         
*  KEY of status                                                      *         
*         FX  - FIXED                                                 *         
*         OK  - LOOKED AT AND NO CHANGES NEEDED                       *         
*         NG  - NEEDS TO BE FIXED                                     *         
*         IT  - IN TESTING                                            *         
***********************************************************************         
PAN BOOK    Person  Status  Date      Comment (Optional)                        
----------  ------  ------  --------  ---------------------------------         
ACCLB06BUS  LSTAN   --      DEC23/99  Does not exist                            
ACCLB07     AWILN   OK      DEC28/99                                            
ACCLB08     AWILN   OK      DEC28/99                                            
ACCLB09     AWILN   OK      DEC28/99                                            
ACCLB0A     AWILN   OK      DEC27/99                                            
ACCLB0B     AWILN   OK      DEC27/99                                            
ACCLB0C     AWILN   OK      DEC27/99                                            
ACCLB0D     AWILN   OK      DEC27/99                                            
ACCLB0F     AWILN   OK      DEC27/99                                            
ACCLB10     LSTAN   FX      DEC22/99  Fixes in 'A' version (don't load          
                                          until version is straight.            
                                          Changes are minor)                    
ACCLB11     LSTAN   OK      DEC22/99                                            
ACCLB12     LSTAN   OK      DEC23/99                                            
ACCLB13     LSTAN   OK      DEC23/99                                            
ACCLB14     LSTAN   OK      DEC23/99                                            
ACCLB15     LSTAN   OK      DEC23/99                                            
ACCLB16     LSTAN   OK      DEC23/99                                            
ACCLB17     LSTAN   OK      DEC23/99                                            
ACCLB18     LSTAN   OK      DEC23/99                                            
ACCLB19     LSTAN   OK      DEC23/99                                            
ACCLB1A     LSTAN   OK      DEC23/99                                            
ACCLB1B     LSTAN   OK      DEC23/99                                            
ACCLB1C     LSTAN   OK      DEC23/99                                            
ACCLB1D     LSTAN   OK      DEC23/99                                            
ACCLB1E     LSTAN   ??      DEC30/99 Not loaded in the USA !                    
                                     Need to review all usages of               
                                          BOWORK1.                              
                                     VMOA14, VMON62 GOTO1 AADDOBH               
                                          look questionable                     
ACCLB1F     LSTAN   OK      DEC30/99                                            
ACCLB20     AHYD    OK      DEC27/99                                            
ACCLB21     AHYD    OK      DEC27/99                                            
ACCLB22     AHYD    OK      DEC27/99                                            
ACCLB23     AHYD    OK      DEC27/99                                            
ACCLB2F     AHYD    OK      DEC27/99                                            
ACCLB30     AHYD    OK      DEC27/99                                            
ACCLB31     AHYD    OK      DEC27/99                                            
ACCLB40     PCAS    OK      DEC29/99                                            
ACCLB41     PCAS    OK      DEC29/99                                            
ACCLB42     PCAS    OK      DEC29/99                                            
ACCLB43US   PCAS    FX      DEC21/99 REMOVED CALL TO CONMOS, A LOCAL            
                                     ROUTINE TO FIGURE MOA AND USED             
                                     A STANDARD VCONVMOS CALL.                  
ACCLB44     PCAS    OK      DEC29/99                                            
ACCLBTXT                                                                        
         EJECT                                                                  
************************************************************************        
*   $CRD  PROGRAM                                                      *        
************************************************************************        
PAN BOOK    Person  Status  Date      Comment (Optional)                        
----------  ------  ------  --------                                            
ACCRD00                                                                         
ACCRD01                                                                         
ACCRD02                                                                         
ACCRD03                                                                         
ACCRD04                                                                         
         EJECT                                                                  
************************************************************************        
*   $CTA  PROGRAM                                                      *        
************************************************************************        
PAN BOOK    Person  Status  Date                                                
----------  ------  ------  --------                                            
ACCTA00     GHOAN   OK      AUG04/97                                            
ACCTA02     GHOAN   OK      AUG04/97                                            
ACCTA03     GHOAN   OK      AUG04/97                                            
ACCTA04     GHOAN   OK      AUG04/97                                            
ACCTA05     GHOAN   OK      AUG04/97                                            
         EJECT                                                                  
************************************************************************        
*   $FIS  PROGRAM                                                      *        
************************************************************************        
PAN BOOK    Person  Status  Date      Comment (Optional)                        
----------  ------  ------  --------                                            
ACENQ00     RDESN   FX      JAN05/98                                            
ACENQ01     RDESN   OK      JAN27/98                                            
ACENQ02     RDESN   FX      JUL22/97                                            
ACENQ03     RDESN   OK      JAN27/98                                            
ACENQ04     RDESN   OK      FEB13/98                                            
ACENQ05     RDESN   OK      FEB13/98                                            
ACENQ06     RDESN   FX      JUL22/97                                            
ACENQ07     RDESN   FX      JUL22/97                                            
ACENQ09     RDESN   OK      FEB13/98                                            
ACENQ0B     RDESN   OK      JAN26/98                                            
ACENQ0C     RDESN   OK      FEB13/98                                            
ACENQ0D     RDESN   OK      FEB13/98                                            
ACENQ0E     RDESN   OK      FEB13/98                                            
ACENQ0F     RDESN   OK      FEB13/98                                            
ACENQ10     RDESN   OK      FEB13/98                                            
ACENQ11     RDESN   FX      JUL22/97                                            
ACENQ12     RDESN   OK      FEB13/98                                            
         EJECT                                                                  
************************************************************************        
*   $EXP  PROGRAM                                                      *        
************************************************************************        
PAN BOOK    Person  Status  Date      Comment (Optional)                        
----------  ------  ------  --------                                            
ACEXP00     LSTAN   OK      02/02/98                                            
ACEXP01     LSTAN   FX      02/04/98                                            
ACEXP02     LSTAN   FX      02/04/98                                            
ACEXP03     LSTAN   FX      02/04/98                                            
ACEXP04     LSTAN   FX      02/04/98                                            
ACEXP05     MNASN   FX      03/06/98                                            
ACEXP06     LSTAN   FX      02/05/98                                            
         EJECT                                                                  
************************************************************************        
*   $AIS  PROGRAM                                                      *        
************************************************************************        
PAN BOOK    Person  Status  Date      Comment (Optional)                        
----------  ------  ------  --------                                            
ACINF00     DCURN   FX     AUG11/97                                             
ACINF01     DCURN   OK     AUG04/97                                             
ACINF02     DCURN   OK     AUG04/97                                             
ACINF03     DCURN   OK     AUG04/97                                             
ACINF04     DCURN   OK     AUG04/97                                             
ACINF05     DCURN   OK     AUG04/97                                             
ACINF06     DCURN   OK     AUG04/97                                             
ACINF07     DCURN   OK     AUG04/97                                             
ACINF08     DCURN   OK     AUG05/97                                             
ACINF09     DCURN   OK     AUG04/97                                             
ACINF10     DCURN   OK     AUG04/97                                             
ACINF11     DCURN   OK     AUG04/97                                             
ACINF12     DCURN   OK     AUG04/97                                             
ACINF13     DCURN   OK     AUG04/97                                             
ACINF14     DCURN   OK     AUG04/97                                             
ACINF15     DCURN   FX     AUG07/97                                             
ACINF16     DCURN   OK     AUG05/97                                             
ACINF17     DCURN   OK     AUG05/97                                             
ACINF18     DCURN   OK     AUG05/97                                             
ACINF19     DCURN   OK     AUG05/97                                             
ACINF20     DCURN   OK     AUG05/97                                             
ACINF21     DCURN   OK     AUG05/97                                             
         EJECT                                                                  
************************************************************************        
*   $INF  PROGRAM                                                      *        
************************************************************************        
PAN BOOK    Person  Status  Date      Comment (Optional)                        
----------  ------  ------  --------                                            
ACINQ00     RDESN   OK      FEB11/98                                            
ACINQ01     RDESN   OK      JUL23/97                                            
ACINQ02     RDESN   FX      FEB11/98                                            
